metric_id,campaign_id,measurement_date,impressions,unique_impressions,clicks,unique_clicks,conversions,conversion_value,acquisition_cost,cost_per_click,cost_per_conversion,revenue_generated,profit,roi_score,roas,customer_acquisition_cost,lifetime_value_generated,attribution_model,benchmark_roi,performance_vs_benchmark
ROI41058,CMP14253,2024-12-11,48937415,29666453,2179724,1579353,345202,6473918308,4221033,1.94,12.23,12458340180,12454119147,295049.08,2951.49,12.23,134261485072,Last Click,4.22,At
ROI41059,CMP13142,2025-08-15,3308005,2015720,336297,245376,20996,936001680,200750,0.6,9.56,126101976,125901226,62715.43,628.15,9.56,4803359900,Linear,4.05,Above
ROI41060,CMP12555,2025-02-14,55772656,44187470,1379792,967175,211670,8096589170,4071404,2.95,19.23,9629079970,9625008566,236405.15,2365.05,19.23,17025253110,Linear,1.95,At
ROI41061,CMP12255,2026-01-30,922264,682415,94823,71623,9769,55605148,63127,0.67,6.46,274860584,274797457,435308.91,4354.09,6.46,4752149588,Linear,2.09,Below
ROI41062,CMP19203,2024-09-02,9886222,6427878,787761,685698,146586,3361070394,2021824,2.57,13.79,1742174610,1740152786,86068.46,861.68,13.79,52923849198,Time Decay,2.12,At
ROI41063,CMP10438,2023-05-05,20441551,16327820,1921446,1663155,170019,5558771205,4742191,2.47,27.89,7743855393,7739113202,163196.99,1632.97,27.89,75161829501,Linear,3.17,Above
ROI41064,CMP18789,2023-04-14,6562839,5227337,192818,157156,46879,942924206,1531230,7.94,32.66,2111711434,2110180204,137809.49,1379.09,32.66,21911057084,First Click,1.78,Below
ROI41065,CMP13493,2026-03-08,73159492,51557226,7359053,6097697,1669003,70129837057,4563662,0.62,2.73,16214364145,16209800483,355192.84,3552.93,2.73,620832397934,First Click,3.2,Above
ROI41066,CMP12170,2024-05-15,61244366,48248267,2396995,1833191,512049,12616375311,4782643,2.0,9.34,18345179523,18340396880,383478.28,3835.78,9.34,113945239872,First Click,4.23,At
ROI41067,CMP18643,2023-06-10,10816888,9331049,577437,432857,83663,1895803580,1123667,1.95,13.43,1907432737,1906309070,169650.71,1697.51,13.43,14489343981,Position Based,3.93,Below
ROI41068,CMP19001,2023-08-09,67224865,53736809,7183640,6407377,1727862,49888559526,4317389,0.6,2.5,57107566962,57103249573,1322633.88,13227.34,2.5,147160278678,First Click,1.96,Below
ROI41069,CMP18872,2023-02-21,8724993,6471687,253925,217564,19375,777228125,2183939,8.6,112.72,513398750,511214811,23407.93,235.08,112.72,3303185625,Linear,3.09,Above
ROI41070,CMP18903,2023-10-18,7103670,4892312,708711,567131,116135,1176331415,487314,0.69,4.2,3057253875,3056766561,627268.37,6273.68,4.2,36165368080,First Click,4.06,At
ROI41071,CMP18420,2023-03-24,2715278,2218431,77400,67396,12948,246219168,359751,4.65,27.78,369833724,369473973,102702.7,1028.03,27.78,5175082536,Position Based,2.1,Above
ROI41072,CMP18972,2024-05-11,25486073,15793959,2343676,2065906,471000,3788724000,3317627,1.42,7.04,5590770000,5587452373,168417.14,1685.17,7.04,87942765000,Position Based,2.58,Above
ROI41073,CMP11553,2025-04-16,323793,273183,35710,27528,6931,146930269,50502,1.41,7.29,299717233,299666731,593375.97,5934.76,7.29,2230368076,First Click,4.86,Above
ROI41074,CMP19098,2025-01-28,18722053,11855296,452540,397424,48120,1752626640,4702955,10.39,97.73,2396087280,2391384325,50848.55,509.49,97.73,11732907120,Linear,4.5,Below
ROI41075,CMP14868,2023-06-29,7625896,4699544,240383,191706,34439,561321261,1309571,5.45,38.03,1079283821,1077974250,82315.07,824.15,38.03,8409383898,Position Based,1.99,At
ROI41076,CMP12602,2023-07-13,32318642,26238115,650710,468496,102803,3855626515,4489701,6.9,43.67,3223799277,3219309576,71704.32,718.04,43.67,30742106317,Linear,4.0,At
ROI41077,CMP16025,2025-05-10,23347711,16828265,511603,442268,126956,3641098080,1636069,3.2,12.89,4391281084,4389645015,268304.39,2684.04,12.89,30433003628,Time Decay,4.12,Above
ROI41078,CMP13329,2025-12-05,16056496,12684194,505788,365182,116560,2745454240,2430058,4.8,20.85,3263097200,3260667142,134180.63,1342.81,20.85,6930657600,First Click,3.79,Above
ROI41079,CMP18992,2024-12-24,15754312,11708257,583940,467123,46143,1079700057,2292369,3.93,49.68,1395825750,1393533381,60790.1,608.9,49.68,12302600517,Last Click,1.71,Above
ROI41080,CMP12855,2024-06-13,3263247,2845513,120575,109148,28284,587911224,1203484,9.98,42.55,621173208,619969724,51514.58,516.15,42.55,6233256204,Last Click,4.34,At
ROI41081,CMP19966,2023-07-24,32566289,25636438,1979127,1482095,465099,8327597595,3130689,1.58,6.73,3557542251,3554411562,113534.48,1136.34,6.73,112490704536,Last Click,2.02,Below
ROI41082,CMP19406,2025-03-25,8226408,5754218,648889,556984,129051,6433708554,2880910,4.44,22.32,5427756009,5424875099,188304.22,1884.04,22.32,26659097478,First Click,4.19,Above
ROI41083,CMP13423,2024-07-22,19816176,16688193,1868896,1732027,131009,3021984603,1638662,0.88,12.51,6188079106,6186440444,377529.99,3776.3,12.51,6679231847,Position Based,2.41,Above
ROI41084,CMP16758,2025-10-10,8522574,6113760,913219,794897,155629,4288357095,3118246,3.41,20.04,2443064042,2439945796,78247.38,783.47,20.04,18150854641,Position Based,4.8,Below
ROI41085,CMP19997,2024-02-24,9507960,7430419,947679,751228,88163,748592033,3402091,3.59,38.59,3743753632,3740351541,109942.72,1100.43,38.59,35419661576,Time Decay,4.65,Above
ROI41086,CMP11028,2025-05-17,64016500,45751318,7358656,5662723,1363905,58272841125,4731752,0.64,3.47,41342688360,41337956608,873628.98,8737.29,3.47,545132369925,Position Based,2.22,At
ROI41087,CMP11883,2023-07-12,581526,351353,51406,41973,2596,37886024,157091,3.06,60.51,102225288,102068197,64973.93,650.74,60.51,468785680,Linear,1.96,At
ROI41088,CMP12324,2024-07-03,1441789,886279,69395,54536,10069,379158264,487147,7.02,48.38,465520077,465032930,95460.49,955.6,48.38,4151368148,First Click,3.64,Below
ROI41089,CMP18973,2023-09-28,58998254,51127742,2216965,2058569,238077,4427279892,3963266,1.79,16.65,9661164660,9657201394,243667.76,2437.68,16.65,112100936220,Position Based,1.54,Below
ROI41090,CMP10075,2026-03-19,16093006,14111326,1586444,1305774,204894,8906947074,4445316,2.8,21.7,5190784596,5186339280,116669.75,1167.7,21.7,98315107596,Last Click,4.13,At
ROI41091,CMP17437,2024-07-12,4637773,3719510,158510,141614,23702,1073155454,355812,2.24,15.01,317630502,317274690,89169.19,892.69,15.01,1914197222,Last Click,3.24,Below
ROI41092,CMP12469,2024-10-28,32666167,27828237,2098979,1953839,186571,1886232810,4040705,1.93,21.66,1870747417,1866706712,46197.55,462.98,21.66,86094307376,Linear,4.06,At
ROI41093,CMP13781,2024-01-29,20719623,15070312,1173127,830281,228017,4760538926,3433242,2.93,15.06,8775006228,8771572986,255489.5,2555.9,15.06,86658772918,Last Click,3.02,Above
ROI41094,CMP13965,2023-10-18,57782393,46933371,807019,733657,80840,1935390440,4887914,6.06,60.46,2545328240,2540440326,51973.92,520.74,60.46,19337574720,Last Click,2.27,Above
ROI41095,CMP14049,2023-05-08,42094198,37831386,4460181,4121337,1080215,33258739635,4750975,1.07,4.4,16504604985,16499854010,347294.06,3473.94,4.4,449798285355,Position Based,4.02,Above
ROI41096,CMP14887,2024-01-22,2835300,2472598,126593,102783,16466,478189106,729960,5.77,44.33,303320186,302590226,41452.99,415.53,44.33,3512543586,Last Click,3.1,Below
ROI41097,CMP10313,2024-05-29,18092046,14347438,293002,264944,49528,1412290920,3317918,11.32,66.99,1248254184,1244936266,37521.61,376.22,66.99,6204669728,Position Based,3.27,Below
ROI41098,CMP11132,2023-09-02,39517038,25727250,2629206,2298199,201694,7240209518,2613514,0.99,12.96,9913663488,9911049974,379223.14,3793.23,12.96,89324221780,Linear,3.46,Above
ROI41099,CMP18837,2025-05-19,15088164,12109178,1022360,744687,231872,8013496320,3768535,3.69,16.25,1945406080,1941637545,51522.34,516.22,16.25,28070888064,First Click,2.5,Above
ROI41100,CMP11588,2024-06-19,16684464,10498380,1196471,999839,221965,10791938300,1334939,1.12,6.01,5144038875,5142703936,385238.87,3853.39,6.01,94722009995,Last Click,3.8,At
ROI41101,CMP12595,2025-05-02,4811654,3242175,119905,113884,24155,282251175,1567283,13.07,64.88,750109370,748542087,47760.49,478.6,64.88,2631252460,Time Decay,4.55,At
ROI41102,CMP10529,2024-09-13,32367933,26864907,860707,692048,85615,2613226645,2260655,2.63,26.4,2835996875,2833736220,125350.23,1254.5,26.4,18511589685,Last Click,3.55,At
ROI41103,CMP11049,2024-02-17,12633138,9336303,1405634,1117845,239246,8182930938,3303943,2.35,13.81,1495526746,1492222803,45164.91,452.65,13.81,90530925646,First Click,2.92,At
ROI41104,CMP12288,2025-06-13,22307481,14558871,1002813,895593,128737,4751038985,1692461,1.69,13.15,5862554243,5860861782,346292.28,3463.92,13.15,37358576241,Linear,2.23,At
ROI41105,CMP17161,2024-07-31,8361386,5970925,757206,576429,171757,6666919712,1377165,1.82,8.02,6434704248,6433327083,467142.8,4672.43,8.02,20531831780,Linear,2.51,At
ROI41106,CMP10279,2023-12-05,2789308,1726247,233760,208909,38383,1186725594,878405,3.76,22.89,1169414861,1168536456,133029.35,1331.29,22.89,9396849294,Time Decay,4.4,Above
ROI41107,CMP17819,2024-08-24,13910057,11686191,1400912,1062102,257808,12658114992,2993226,2.14,11.61,1832241456,1829248230,61112.93,612.13,11.61,22837148256,Position Based,2.12,Below
ROI41108,CMP14608,2023-09-22,43214949,38314013,1263508,922236,140789,2873221912,4347018,3.44,30.88,6206260698,6201913680,142670.53,1427.71,30.88,18906836388,Last Click,3.52,Below
ROI41109,CMP12209,2025-01-06,24887658,19756325,930495,848265,215600,4847766000,3993836,4.29,18.52,6750436000,6746442164,168921.36,1690.21,18.52,106840580000,Position Based,2.51,At
ROI41110,CMP11463,2025-06-07,8925811,6127485,326371,252223,28517,318620441,798757,2.45,28.01,672744547,671945790,84123.93,842.24,28.01,7825007766,Time Decay,4.08,Below
ROI41111,CMP13320,2023-12-11,18276881,12947170,1523075,1141349,256694,7950583262,3727398,2.45,14.52,1415154022,1411426624,37866.27,379.66,14.52,68927986268,Last Click,4.74,Above
ROI41112,CMP12925,2023-07-08,45004692,28240677,2052851,1601594,439676,21928840500,2984459,1.45,6.79,17715425392,17712440933,593489.17,5935.89,6.79,173569135816,Time Decay,1.82,Below
ROI41113,CMP15529,2023-04-05,3916008,2561560,241420,174548,51023,729935038,1326270,5.49,25.99,547272698,545946428,41164.05,412.64,25.99,11172557333,Last Click,1.66,Above
ROI41114,CMP16297,2023-04-26,36065366,23112450,2459668,2061342,526188,3244475208,3654758,1.49,6.95,4750425264,4746770506,129879.2,1299.79,6.95,80124751512,Last Click,1.96,Below
ROI41115,CMP16635,2023-08-23,1771403,1372109,137830,122768,13350,142257600,209764,1.52,15.71,246561150,246351386,117442.17,1175.42,15.71,5774849550,Linear,1.51,Below
ROI41116,CMP10218,2025-05-30,50311708,44432931,6201879,4388786,773858,13421793152,4644361,0.75,6.0,9260758686,9256114325,199297.91,1993.98,6.0,143819961584,Linear,3.79,Below
ROI41117,CMP14104,2025-06-16,55658892,47437000,1934921,1376235,276241,4757422502,3869307,2.0,14.01,13671995813,13668126506,353244.82,3533.45,14.01,87141604655,First Click,2.63,At
ROI41118,CMP10374,2023-04-19,9610953,6115770,705857,538515,156250,6756250000,1915272,2.71,12.26,2238906250,2236990978,116797.56,1168.98,12.26,46925312500,Position Based,3.06,Above
ROI41119,CMP15218,2025-09-29,29097665,25008721,2589522,2182217,280909,2294464712,2143050,0.83,7.63,3721763341,3719620291,173566.66,1736.67,7.63,50580474540,Position Based,2.73,Below
ROI41120,CMP16940,2024-05-06,16201361,14252635,845552,635889,164935,6387602680,1270075,1.5,7.7,4646218950,4644948875,365722.41,3658.22,7.7,44981897875,Last Click,4.83,Above
ROI41121,CMP11962,2024-06-23,12581827,8173730,766952,563052,68943,722729469,2202366,2.87,31.94,798428883,796226517,36153.23,362.53,31.94,18239215365,Position Based,1.64,Above
ROI41122,CMP15202,2025-07-29,20512590,14700856,1917371,1767583,236765,5581024580,2385312,1.24,10.07,2986790475,2984405163,125115.92,1252.16,10.07,19652915590,Linear,3.26,Below
ROI41123,CMP13534,2023-08-26,13045655,9086022,554355,413969,94620,1349659680,1705464,3.08,18.02,3048088680,3046383216,178624.89,1787.25,18.02,9665338380,Last Click,4.29,Above
ROI41124,CMP15141,2025-03-21,5771706,5006194,555700,462290,111523,1786152368,809412,1.46,7.26,4946825711,4946016299,611062.88,6111.63,7.26,9778894255,Position Based,3.2,Below
ROI41125,CMP13524,2024-03-06,1983050,1252255,48495,42847,2670,90590430,270592,5.58,101.35,29012220,28741628,10621.76,107.22,101.35,343442100,First Click,3.35,Below
ROI41126,CMP14039,2025-04-10,52847471,33382711,4071671,3824645,352265,7645559560,4027877,0.99,11.43,5052184630,5048156753,125330.46,1254.3,11.43,93303726020,First Click,3.61,At
ROI41127,CMP11863,2024-09-23,17102273,13875718,573481,430632,103587,2628209364,4263163,7.43,41.16,807357078,803093915,18837.98,189.38,41.16,42063262329,First Click,1.86,At
ROI41128,CMP17594,2024-02-12,1441763,1176731,133991,114697,15719,281448695,482293,3.6,30.68,743492981,743010688,154057.95,1541.58,30.68,5149638714,First Click,2.33,Below
ROI41129,CMP17909,2024-04-15,21543712,13494224,1260906,1196325,215330,3866680810,2792017,2.21,12.97,8232281230,8229489213,294750.68,2948.51,12.97,43590759210,Time Decay,4.04,Above
ROI41130,CMP13562,2025-07-26,34786588,27778803,3234683,2415505,587969,3630120606,3191596,0.99,5.43,17606731705,17603540109,551559.16,5516.59,5.43,84054872302,Position Based,4.55,At
ROI41131,CMP12014,2023-10-03,10676426,7199706,324898,228221,61973,2852865082,1566946,4.82,25.28,2232391406,2230824460,142367.67,1424.68,25.28,7414697612,Time Decay,2.87,Below
ROI41132,CMP16883,2024-12-26,28637985,22645469,1521123,1390546,288109,11139446376,2079015,1.37,7.22,7708644404,7706565389,370683.49,3707.83,7.22,132821706308,Linear,3.6,At
ROI41133,CMP14699,2023-10-03,26697529,18737672,812369,669570,65319,1472943450,3056764,3.76,46.8,1853230668,1850173904,60527.21,606.27,46.8,25576503597,First Click,4.92,Below
ROI41134,CMP17485,2023-04-03,1466685,1300749,91328,84631,4680,107476200,318312,3.49,68.02,220905360,220587048,69299.0,693.99,68.02,1904891040,Time Decay,2.13,Above
ROI41135,CMP13410,2023-10-01,30596248,21575447,574628,503011,86252,4246789724,1991417,3.47,23.09,718824168,716832751,35996.11,360.96,23.09,4630869880,Time Decay,4.52,Above
ROI41136,CMP13897,2026-02-28,35195996,27113574,969894,742961,208664,9520920992,3756450,3.87,18.0,4601667192,4597910742,122400.42,1225.0,18.0,81334097240,Time Decay,3.24,Below
ROI41137,CMP19020,2023-09-02,9006443,7840780,651438,512090,86986,706152348,1011478,1.55,11.63,2134636440,2133624962,210941.31,2110.41,11.63,12694040952,First Click,2.99,Below
ROI41138,CMP19296,2024-06-18,16141276,12575151,1619632,1452554,155244,5351260680,1639931,1.01,10.56,4192208976,4190569045,255533.25,2556.33,10.56,43229709972,Position Based,3.26,Below
ROI41139,CMP11574,2023-02-24,9940090,6552809,1112545,960478,186712,6786794488,2634024,2.37,14.11,2426695864,2424061840,92028.84,921.29,14.11,60777743392,Linear,2.47,At
ROI41140,CMP14160,2023-02-24,39079011,27798661,2962686,2228351,189273,1268886192,3619939,1.22,19.13,5194786758,5191166819,143404.81,1435.05,19.13,89499441507,Position Based,2.76,Above
ROI41141,CMP16654,2026-03-03,33916123,26152667,1092349,854363,70539,1717906806,3239008,2.97,45.92,2878484973,2875245965,88769.34,888.69,45.92,29057271348,Position Based,3.05,Above
ROI41142,CMP14486,2023-03-30,9901728,8320094,1190755,868533,200706,5238828012,1971123,1.66,9.82,5022667650,5020696527,254712.49,2548.12,9.82,79640542212,First Click,2.65,Below
ROI41143,CMP14171,2023-12-23,21344522,12977743,630290,512178,74708,776813784,4417192,7.01,59.13,1623106008,1618688816,36645.2,367.45,59.13,19090508780,Time Decay,3.3,At
ROI41144,CMP18618,2023-12-02,70915454,54109784,2140284,2004013,143786,1223475074,4345265,2.03,30.22,2005527128,2001181863,46054.31,461.54,30.22,41624033996,Linear,2.15,Below
ROI41145,CMP13136,2023-01-23,40948163,26839507,3062851,2500905,339499,11179702070,4266639,1.39,12.57,9730380839,9726114200,227957.28,2280.57,12.57,51199844190,Position Based,2.24,Below
ROI41146,CMP10156,2023-11-16,33895601,29224510,1355789,1282797,68460,2778380640,2795501,2.06,40.83,760179840,757384339,27092.97,271.93,40.83,25283921040,First Click,3.79,Below
ROI41147,CMP10120,2025-01-17,39413795,35009073,2506179,2272892,157267,7435741027,2940117,1.17,18.7,1407225116,1404284999,47762.9,478.63,18.7,56516884523,Linear,4.32,Above
ROI41148,CMP19142,2023-12-11,8108645,5749709,297132,228151,61244,1405304824,552869,1.86,9.03,1356493356,1355940487,245255.29,2453.55,9.03,10160624576,Linear,2.59,Above
ROI41149,CMP11685,2024-10-11,8959669,6244667,278597,226592,57176,2123573816,963502,3.46,16.85,385194712,384231210,39878.61,399.79,16.85,9759314264,Position Based,4.33,Above
ROI41150,CMP11212,2024-06-09,14509346,10828838,779654,729348,138639,1339530018,4900134,6.29,35.34,3978662022,3973761888,81094.96,811.95,35.34,41436285681,First Click,3.37,Above
ROI41151,CMP12711,2025-11-01,25515993,17829616,2580030,2071478,514201,16667311214,4470842,1.73,8.69,15275369107,15270898265,341566.49,3416.66,8.69,168759739798,Position Based,3.46,At
ROI41152,CMP19056,2024-01-10,14868967,12373130,1797500,1357863,144435,3635284515,2609330,1.45,18.07,5301053370,5298444040,203057.64,2031.58,18.07,51567483615,Position Based,2.87,Below
ROI41153,CMP18302,2024-10-26,29383499,18064122,1643706,1526457,274357,2060146713,2496898,1.52,9.1,11805856067,11803359169,472720.92,4728.21,9.1,124057376475,Last Click,3.94,Above
ROI41154,CMP19664,2026-04-28,6136324,4147242,104589,79708,9434,213312174,1608738,15.38,170.53,410265792,408657054,25402.34,255.02,170.53,1113381812,Position Based,2.73,Below
ROI41155,CMP13099,2024-01-10,21149067,15943722,324048,266995,45092,1490290600,1701195,5.25,37.73,454031348,452330153,26588.97,266.89,37.73,8953783164,First Click,2.69,Below
ROI41156,CMP15353,2023-06-01,23031200,16615785,1098348,871135,143740,4944224780,2430583,2.21,16.91,3357622660,3355192077,138040.63,1381.41,16.91,9362073680,First Click,2.96,Above
ROI41157,CMP13726,2024-10-16,10563383,9313306,1173767,1084940,76281,1699922085,1159213,0.99,15.2,1767354489,1766195276,152361.58,1524.62,15.2,6025817595,Linear,4.43,Below
ROI41158,CMP12231,2025-07-13,17851522,12185724,1627529,1346644,315916,9466107024,1457807,0.9,4.61,3076390008,3074932201,210928.62,2110.29,4.61,50766121620,First Click,4.26,Above
ROI41159,CMP14529,2024-11-14,38374644,33406110,3690642,3484430,374595,10375906905,3781598,1.02,10.1,10387519350,10383737752,274585.98,2746.86,10.1,132657949515,Linear,1.62,Above
ROI41160,CMP10493,2023-04-23,26414203,20165898,1254792,983907,305587,10825725062,2585201,2.06,8.46,14715236398,14712651197,569110.53,5692.11,8.46,64586118037,Last Click,3.75,Above
ROI41161,CMP14325,2023-05-13,12372933,8025422,1216497,881198,201687,5706128604,3040762,2.5,15.08,2901065808,2898025046,95305.88,954.06,15.08,63826876455,Position Based,4.87,Below
ROI41162,CMP11604,2026-01-11,18505721,11595079,991430,915668,106362,3101622282,2709403,2.73,25.47,1064364534,1061655131,39184.1,392.84,25.47,52160562972,Time Decay,3.41,Below
ROI41163,CMP16316,2026-03-18,28100161,22149245,3924990,3446052,630745,15885943570,2428801,0.62,3.85,29602124340,29599695539,1218695.79,12187.96,3.85,111521392705,Position Based,4.66,At
ROI41164,CMP16915,2023-03-11,29988328,22333923,1107864,1005032,127146,1636496166,4079120,3.68,32.08,1632681786,1628602666,39925.34,400.25,32.08,35986895256,Time Decay,4.25,At
ROI41165,CMP12005,2026-02-16,8369294,5996556,468814,395474,43486,1066972496,551990,1.18,12.69,379980668,379428678,68738.32,688.38,12.69,6649487746,First Click,4.0,At
ROI41166,CMP12768,2025-02-04,35723459,25157190,2068706,1769728,107764,1290042844,4376679,2.12,40.61,3380233388,3375856709,77132.84,772.33,40.61,35577961308,Last Click,3.83,At
ROI41167,CMP18796,2023-02-07,45623095,29843814,2584952,2219166,499781,5159239263,3218251,1.24,6.44,3873802531,3870584280,120269.81,1203.7,6.44,91793276927,Linear,3.54,Above
ROI41168,CMP16794,2024-04-08,13028463,8817725,679032,511251,130990,2385458890,1278698,1.88,9.76,1024996750,1023718052,80059.41,801.59,9.76,57134694240,First Click,2.77,Below
ROI41169,CMP12924,2023-02-07,20074349,12263370,630150,488410,59269,2946202721,2642293,4.19,44.58,2220868699,2218226406,83950.81,840.51,44.58,24825413340,Time Decay,1.7,Above
ROI41170,CMP14304,2024-11-04,40740368,30145708,4345975,3267271,846148,20776317992,4849513,1.12,5.73,6971413372,6966563859,143654.92,1437.55,5.73,323330919908,Linear,2.34,At
ROI41171,CMP18849,2024-10-31,25245185,21431396,1400063,1297848,266667,8692544199,2450805,1.75,9.19,5297606622,5295155817,216057.82,2161.58,9.19,47578992807,Time Decay,4.01,Below
ROI41172,CMP18281,2023-04-24,3704411,2229035,222931,199467,19726,537612404,1137924,5.1,57.69,722819818,721681894,63420.92,635.21,57.69,3087138726,First Click,4.16,Below
ROI41173,CMP17185,2025-01-19,13517706,9025586,478630,453311,109745,1532698670,1807084,3.78,16.47,4538504475,4536697391,251050.72,2511.51,16.47,14256972950,First Click,1.61,Above
ROI41174,CMP12470,2025-09-29,31236110,25533160,3223327,2494502,665938,15334554326,2295257,0.71,3.45,8350196582,8347901325,363702.25,3638.02,3.45,156360910524,First Click,3.47,At
ROI41175,CMP13910,2026-01-12,44823864,39403224,2723542,2570702,399837,10684444314,4262774,1.57,10.66,11616064524,11611801750,272400.13,2725.0,10.66,124989845874,Time Decay,3.86,Below
ROI41176,CMP19449,2024-06-12,4074679,2616801,194968,157606,31366,900392396,569173,2.92,18.15,757990756,757421583,133074.05,1331.74,18.15,4140625660,Last Click,4.31,Below
ROI41177,CMP11205,2025-06-11,30604676,25277306,1947036,1800737,452780,10678363520,1957582,1.01,4.32,21170634460,21168676878,1081368.59,10814.69,4.32,196833879940,Position Based,3.48,Above
ROI41178,CMP12760,2024-04-29,18517743,12790525,419861,340576,53234,970615522,3900000,9.29,73.26,637210980,633310980,16238.74,163.39,73.26,25112713628,Time Decay,2.5,Below
ROI41179,CMP18407,2025-10-28,49726910,39474394,610217,538012,73908,3088393596,3588127,5.88,48.55,1701953424,1698365297,47332.92,474.33,48.55,12763985508,Last Click,2.12,Above
ROI41180,CMP11260,2025-12-15,39430052,30180780,3208680,2461313,281531,6078254290,4684459,1.46,16.64,6056013341,6051328882,129178.82,1292.79,16.64,44088880724,First Click,1.51,Below
ROI41181,CMP12188,2024-11-12,5496491,4619748,630366,490339,135575,3363751325,461893,0.73,3.41,3201061325,3200599432,692930.92,6930.31,3.41,20624889175,First Click,2.89,At
ROI41182,CMP16711,2023-02-06,17250415,14125880,417643,344734,23097,754740669,3295353,7.89,142.67,972614670,969319317,29414.73,295.15,142.67,10770731622,Position Based,3.5,At
ROI41183,CMP10127,2024-01-16,23772665,20371573,1973842,1656492,145004,5486371344,1644034,0.83,11.34,5276115544,5274471510,320824.97,3209.25,11.34,71252790540,Linear,3.44,Above
ROI41184,CMP12881,2023-05-11,32019689,23258733,1616839,1273133,340159,10120750727,4636762,2.87,13.63,9861889728,9857252966,212589.15,2126.89,13.63,81887496547,Last Click,2.7,Below
ROI41185,CMP19156,2026-01-09,5451548,4800864,141987,120228,35130,366300510,837855,5.9,23.85,1517370090,1516532235,181001.75,1811.02,23.85,17429046900,Time Decay,2.22,Below
ROI41186,CMP14707,2025-09-07,18252832,14622423,1921711,1423042,162195,3517847355,4930918,2.57,30.4,1340703870,1335772952,27089.74,271.9,30.4,53489315880,Position Based,2.36,Below
ROI41187,CMP18100,2025-09-15,8668711,7459490,851330,671404,205670,3893127430,952406,1.12,4.63,9649830730,9648878324,1013105.58,10132.06,4.63,30912406670,Last Click,3.17,Above
ROI41188,CMP10548,2023-04-21,411937,270513,37990,32156,9451,358504783,74042,1.95,7.83,57877924,57803882,78069.04,781.69,7.83,3712097623,Linear,1.94,Below
ROI41189,CMP11051,2023-06-19,44359794,27380236,4745545,3360274,858636,41657584176,2961052,0.62,3.45,42917203188,42914242136,1449290.39,14493.9,3.45,77052277368,Position Based,3.72,Above
ROI41190,CMP15541,2023-12-06,14104515,10424877,350014,271798,83980,3215762160,890461,2.54,10.6,731465800,730575339,82044.62,821.45,10.6,11917097920,Linear,1.66,Above
ROI41191,CMP13407,2026-02-07,13611094,9669143,1346278,998867,148116,2578995792,1830060,1.36,12.36,4738971420,4737141360,258851.7,2589.52,12.36,50466675984,Position Based,1.6,Below
ROI41192,CMP14342,2023-06-29,28790551,25886045,638793,580942,100518,2986289262,4545064,7.12,45.22,4154308422,4149763358,91302.64,914.03,45.22,21976652412,Last Click,3.2,Above
ROI41193,CMP16633,2023-06-29,6746598,5273281,506358,370002,58263,1376929479,1169373,2.31,20.07,369270894,368101521,31478.54,315.79,20.07,14362761708,Time Decay,4.9,At
ROI41194,CMP19667,2024-02-09,61098131,45922667,1563417,1328822,190412,3497106792,4297389,2.75,22.57,1564805816,1560508427,36312.94,364.13,22.57,84365654428,Last Click,2.02,Above
ROI41195,CMP17248,2024-03-27,8732507,5991601,1270199,1144309,202555,6866006835,1850682,1.46,9.14,7556516830,7554666148,408209.85,4083.1,9.14,17188007080,Linear,3.05,Below
ROI41196,CMP16771,2026-01-16,4015011,2976076,109737,101237,27071,187168894,1362443,12.42,50.33,968302599,966940156,70971.05,710.71,50.33,6763987131,Position Based,2.31,Below
ROI41197,CMP11042,2023-04-14,6244953,5335133,570775,525757,69945,2746460370,415907,0.73,5.95,2369316930,2368901023,569574.69,5696.75,5.95,12286608645,Time Decay,1.81,At
ROI41198,CMP13436,2023-03-04,36287237,25662990,1922634,1739573,293881,7064605359,2867762,1.49,9.76,13644600949,13641733187,475692.65,4757.93,9.76,94945897956,First Click,4.83,At
ROI41199,CMP18496,2023-09-21,11237413,8899338,1214770,900996,299834,3153654012,1474549,1.21,4.92,7050896344,7049421795,478073.08,4781.73,4.92,47741368484,Time Decay,1.82,Above
ROI41200,CMP19116,2026-01-21,23098767,15422397,1870819,1550822,365909,9045270480,2769880,1.48,7.57,7068264153,7065494273,255083.05,2551.83,7.57,128299404488,Time Decay,2.42,At
ROI41201,CMP11341,2024-07-23,20267829,12535267,788346,585474,181456,3818197152,2756597,3.5,15.19,6254062496,6251305899,226776.2,2268.76,15.19,55261517520,Position Based,2.38,Above
ROI41202,CMP15482,2024-05-09,20639430,15960954,998107,915436,231228,7824755520,4352724,4.36,18.82,10517868036,10513515312,241538.75,2416.39,18.82,93953948328,Position Based,4.51,At
ROI41203,CMP10244,2024-03-20,11956692,9816937,611106,576009,119066,1562622184,2268960,3.71,19.06,3269195162,3266926202,143983.42,1440.83,19.06,30622941738,Last Click,4.91,Above
ROI41204,CMP18387,2024-04-17,23497791,15779390,2229492,1655581,249128,9058543208,3190866,1.43,12.81,8623067464,8619876598,270142.23,2702.42,12.81,32690576160,Linear,4.33,Above
ROI41205,CMP14195,2023-07-02,1653437,1071723,128201,93063,25410,1053422370,228894,1.79,9.01,1260615510,1260386616,550642.05,5507.42,9.01,11115731550,Time Decay,2.72,Above
